RoyalBlue,58,95,205,3A5FCD
RoyalBlue,39,64,139,27408B
SkyBlue,135,206,235,87CEEB
SkyBlue,135,206,255,87CEFF
SkyBlue,126,192,238,7EC0EE
SkyBlue,108,166,205,6CA6CD
SkyBlue,74,112,139,4A708B
SlateBlue,106,90,205,6A5ACD
SlateBlue,131,111,255,836FFF
SlateBlue,122,103,238,7A67EE
SlateBlue,105,89,205,6959CD
SlateBlue,71,60,139,473C8B
SteelBlue,70,130,180,4682B4
SteelBlue,99,184,255,63B8FF
SteelBlue,92,172,238,5CACEE
SteelBlue,79,148,205,4F94CD
SteelBlue,54,100,139,36648B
Aquamarine,127,255,212,7FFFD4
Aquamarine,118,238,198,76EEC6
MediumAquamarine,102,205,170,66CDAA
MediumAquamarine,69,139,116,458B74
Azure,240,255,255,F0FFFF
Azure,224,238,238,E0EEEE
Tiara,193,205,205,C1CDCD
Gunsmoke,131,139,139,838B8B
Blue,0,0,255,0000FF
Blue,0,0,238,0000EE
DarkBlue,0,0,139,00008B
TrueIrisBlue,3,180,204,03B4CC
Cyan,0,255,255,00FFFF
Cyan,0,238,238,00EEEE
Cyan,0,205,205,00CDCD
DarkCyan,0,139,139,008B8B
Teal,0,128,128,8080
Turquoise,64,224,208,40E0D0
Turquoise,0,245,255,00F5FF
Turquoise,0,229,238,00E5EE
Turquoise,0,197,205,00C5CD
DarkCyan,0,134,139,00868B
DarkSlateGray,47,79,79,2F4F4F
Cyan,151,255,255,97FFFF
Cyan,141,238,238,8DEEEE
DarkSlateGray,121,205,205,79CDCD
DarkSlateGray,82,139,139,528B8B
DarkSlateBlue,36,24,130,241882
SteelBlue,112,147,219,7093DB
MediumSlateBlue,127,0,255,7F00FF
MediumTurquoise,112,219,219,70DBDB
MidnightBlue,47,47,79,2F2F4F
NavyBlue,35,35,142,23238E
NeonBlue,77,77,255,4D4DFF
RichBlue,89,89,171,5959AB
SkyBlue,50,153,204,3299CC
AzureBlue,0,127,255,007FFF
SummerSky,56,176,222,38B0DE
TrueIrisBlue,3,180,200,03B4C8
RosyBrown,188,143,143,BC8F8F
LightRose,255,197,203,FFC5CB
LightRose,255,193,193,FFC1C1
RosyBrown,238,180,180,EEB4B4
RosyBrown,205,155,155,CD9B9B
SandDune,139,105,105,8B6969
SaddleBrown,139,69,19,8B4513
SandyBrown,244,164,96,F4A460
Beige,245,245,220,F5F5DC
Brown,150,75,0,964B00
Brown,165,42,42,A52A2A
